Vehicle ID,Registration State,Vehicle Make,Vehicle Model,Vehicle Year,Insurance Provider,Insurance Policy Type,Insurance Claim History,Policy Expiration Date,Vehicle Condition,Owner Age Group,Accident History
VID00270,PA,BMW,Camry,2021,State Farm,Comprehensive,Yes,2025-06-23,Poor,36-45,0
VID00271,GA,Honda,Altima,2002,Progressive,Full Coverage,No,2026-01-10,Good,60+,1
VID00272,FL,Toyota,3 Series,2002,Liberty Mutual,Full Coverage,Yes,2025-05-29,Fair,26-35,3
VID00273,OH,Ford,Silverado,2001,Liberty Mutual,Comprehensive,Yes,2025-05-10,Poor,26-35,4
VID00274,IL,Mercedes,Camry,2002,State Farm,Collision,No,2025-09-28,Poor,18-25,5
VID00275,CA,BMW,Camry,2009,Farmers,Collision,Yes,2025-11-12,Poor,36-45,0
VID00276,FL,Kia,Elantra,2017,Progressive,Comprehensive,No,2026-01-14,Fair,46-60,5
VID00277,OH,BMW,Civic,2009,Allstate,Liability,Yes,2026-01-01,Fair,46-60,5
VID00278,CA,Hyundai,C-Class,2011,Allstate,Full Coverage,Yes,2025-05-27,Fair,46-60,4
VID00279,NY,Kia,F-150,2012,State Farm,Full Coverage,No,2025-06-06,Good,46-60,4
VID00280,TX,Ford,Civic,2000,Allstate,Comprehensive,Yes,2026-03-17,Poor,36-45,1
VID00281,IL,Nissan,F-150,2022,Geico,Collision,No,2025-12-24,Fair,60+,3
VID00282,IL,BMW,Altima,2013,USAA,Comprehensive,Yes,2025-12-17,Good,46-60,3
VID00283,PA,Ford,Camry,2008,Progressive,Liability,No,2025-08-29,Poor,26-35,2
VID00284,NC,Ford,F-150,2009,USAA,Full Coverage,No,2025-06-13,Poor,46-60,2
VID00285,PA,Hyundai,Altima,2014,Farmers,Full Coverage,Yes,2025-05-15,Poor,46-60,3
VID00286,OH,Honda,Elantra,2008,USAA,Comprehensive,No,2025-12-21,Good,60+,4
VID00287,OH,Chevrolet,Altima,2023,Farmers,Collision,Yes,2025-09-04,Poor,60+,3
VID00288,MI,Hyundai,F-150,2009,Allstate,Comprehensive,Yes,2025-10-18,Good,46-60,2
VID00289,OH,BMW,Jetta,2023,State Farm,Full Coverage,No,2025-12-10,Poor,26-35,5
VID00290,NY,Chevrolet,3 Series,2009,USAA,Collision,No,2025-06-28,Fair,60+,0
VID00291,NY,Mercedes,Camry,2011,Geico,Liability,Yes,2026-01-05,Good,18-25,2
VID00292,TX,BMW,C-Class,2013,Geico,Collision,Yes,2025-06-17,Fair,26-35,3
VID00293,TX,Toyota,Altima,2016,State Farm,Comprehensive,No,2025-10-31,Poor,46-60,1
VID00294,GA,Chevrolet,Sorento,2003,Progressive,Collision,Yes,2025-07-23,Fair,46-60,1
VID00295,MI,Hyundai,Civic,2011,Progressive,Comprehensive,Yes,2026-01-25,Fair,26-35,4
VID00296,IL,Honda,Altima,2006,Liberty Mutual,Liability,No,2025-08-16,Poor,46-60,0
VID00297,MI,Mercedes,Altima,2014,USAA,Full Coverage,No,2026-02-14,Poor,36-45,3
VID00298,IL,Honda,Camry,2016,Farmers,Collision,Yes,2025-10-18,Poor,46-60,0
VID00299,GA,Nissan,Elantra,2002,Farmers,Liability,Yes,2025-04-26,Poor,36-45,1
VID00300,TX,Volkswagen,F-150,2007,State Farm,Full Coverage,No,2025-12-27,Good,46-60,2
VID00301,PA,Toyota,Civic,2002,Progressive,Comprehensive,Yes,2025-12-01,Fair,36-45,1
VID00302,FL,BMW,Altima,2009,USAA,Liability,No,2026-02-18,Good,46-60,3
VID00303,FL,Volkswagen,Silverado,2018,State Farm,Liability,No,2025-08-03,Poor,46-60,4
VID00304,MI,Ford,Jetta,2012,State Farm,Full Coverage,Yes,2025-05-09,Good,60+,4
VID00305,FL,BMW,Civic,2021,Allstate,Comprehensive,No,2025-10-05,Poor,36-45,0
VID00306,NY,Kia,Camry,2010,Farmers,Full Coverage,No,2026-02-02,Good,18-25,5
VID00307,FL,BMW,Altima,2014,Liberty Mutual,Full Coverage,Yes,2025-12-12,Good,36-45,2
VID00308,PA,Hyundai,Silverado,2020,USAA,Comprehensive,Yes,2026-01-21,Fair,26-35,2
VID00309,FL,BMW,Altima,2005,Geico,Collision,No,2026-01-14,Fair,46-60,3
VID00310,CA,Nissan,F-150,2005,State Farm,Full Coverage,No,2025-10-03,Poor,36-45,1
VID00311,PA,Mercedes,Elantra,2014,Liberty Mutual,Comprehensive,No,2026-01-13,Poor,46-60,2
VID00312,TX,Volkswagen,Silverado,2004,Geico,Liability,No,2025-07-23,Good,18-25,3
VID00313,MI,Honda,Altima,2017,Liberty Mutual,Collision,Yes,2025-07-10,Poor,18-25,5
VID00314,MI,Toyota,Sorento,2016,Allstate,Comprehensive,Yes,2025-06-18,Good,60+,0
VID00315,NY,Kia,Camry,2020,State Farm,Full Coverage,Yes,2025-08-18,Fair,36-45,2
VID00316,NC,Honda,Elantra,2006,USAA,Full Coverage,Yes,2025-12-11,Poor,26-35,0
VID00317,GA,Honda,Jetta,2010,Farmers,Full Coverage,No,2025-12-30,Fair,36-45,0
VID00318,MI,Kia,Jetta,2015,USAA,Liability,Yes,2025-06-17,Poor,46-60,5
VID00319,MI,Hyundai,Camry,2004,Farmers,Full Coverage,No,2025-05-07,Poor,18-25,4
VID00320,NC,Hyundai,Elantra,2005,State Farm,Full Coverage,Yes,2025-10-11,Poor,26-35,5
VID00321,CA,Toyota,Jetta,2010,Geico,Collision,No,2025-05-03,Good,46-60,0
VID00322,IL,Ford,Sorento,2018,USAA,Collision,No,2025-08-28,Fair,36-45,2
VID00323,PA,BMW,Elantra,2023,Allstate,Collision,No,2026-02-13,Good,36-45,1
VID00324,CA,Toyota,Elantra,2010,Geico,Liability,Yes,2025-09-09,Poor,26-35,5
VID00325,NY,Mercedes,Elantra,2006,Liberty Mutual,Full Coverage,No,2025-11-01,Fair,26-35,5
VID00326,CA,Nissan,Civic,2003,Liberty Mutual,Full Coverage,Yes,2026-02-14,Fair,46-60,4
VID00327,FL,Nissan,Silverado,2000,Geico,Collision,No,2025-11-26,Fair,46-60,4
VID00328,PA,Chevrolet,Civic,2014,Farmers,Liability,Yes,2025-12-11,Poor,36-45,3
VID00329,NC,Nissan,Civic,2005,Farmers,Full Coverage,Yes,2025-12-08,Fair,36-45,1
VID00330,NC,Volkswagen,Jetta,2006,Geico,Collision,Yes,2026-02-16,Good,46-60,4
VID00331,FL,Toyota,Altima,2000,Allstate,Liability,Yes,2026-03-15,Good,46-60,1
VID00332,IL,BMW,Elantra,2017,USAA,Collision,No,2025-11-02,Good,18-25,1
VID00333,OH,Hyundai,Sorento,2001,Liberty Mutual,Comprehensive,Yes,2025-10-31,Fair,60+,1
VID00334,FL,Volkswagen,3 Series,2022,Geico,Full Coverage,No,2025-09-24,Fair,26-35,2
VID00335,NY,Chevrolet,Jetta,2017,Progressive,Full Coverage,Yes,2026-03-23,Good,18-25,0
VID00336,CA,Chevrolet,Civic,2008,State Farm,Liability,No,2025-12-18,Good,26-35,4
VID00337,NY,Toyota,3 Series,2002,Allstate,Comprehensive,No,2025-05-28,Poor,26-35,4
VID00338,FL,Ford,C-Class,2002,Liberty Mutual,Liability,Yes,2026-02-22,Fair,18-25,3
VID00339,CA,Ford,Elantra,2006,Farmers,Liability,Yes,2026-01-07,Good,26-35,1
VID00340,OH,Nissan,C-Class,2005,Farmers,Full Coverage,No,2026-01-24,Good,46-60,5
VID00341,NC,Nissan,Camry,2008,State Farm,Liability,No,2026-02-03,Poor,46-60,4
VID00342,MI,Volkswagen,Altima,2014,Allstate,Liability,Yes,2025-07-28,Poor,36-45,3
VID00343,TX,Honda,C-Class,2001,USAA,Full Coverage,No,2025-10-08,Fair,36-45,1
VID00344,TX,Nissan,3 Series,2008,Farmers,Full Coverage,Yes,2026-03-12,Good,26-35,3
VID00345,TX,Toyota,Camry,2008,USAA,Full Coverage,Yes,2026-02-10,Fair,60+,1
VID00346,FL,Ford,Silverado,2016,USAA,Collision,Yes,2025-08-30,Poor,36-45,2
VID00347,NY,Volkswagen,F-150,2019,State Farm,Collision,Yes,2025-05-30,Poor,18-25,5
VID00348,GA,Kia,C-Class,2005,State Farm,Collision,Yes,2025-09-04,Poor,46-60,2
VID00349,NC,Kia,Jetta,2019,USAA,Collision,No,2025-11-24,Fair,60+,2
VID00350,PA,Volkswagen,Civic,2001,Farmers,Liability,Yes,2026-03-10,Good,36-45,5
VID00351,CA,Kia,Civic,2002,Allstate,Collision,No,2025-11-27,Fair,36-45,1
VID00352,CA,Mercedes,Elantra,2018,USAA,Full Coverage,Yes,2025-10-26,Good,18-25,3
VID00353,FL,Chevrolet,Civic,2020,Farmers,Full Coverage,No,2025-07-12,Fair,18-25,1
VID00354,MI,Nissan,Silverado,2015,Allstate,Collision,Yes,2025-08-05,Good,46-60,0
VID00355,FL,BMW,Civic,2001,Farmers,Liability,No,2025-09-30,Poor,18-25,2
VID00356,GA,Hyundai,Sorento,2010,Geico,Full Coverage,Yes,2025-11-25,Good,18-25,4
VID00357,PA,Kia,C-Class,2011,State Farm,Comprehensive,No,2025-12-15,Good,46-60,3
VID00358,MI,Volkswagen,Jetta,2010,Allstate,Collision,No,2025-07-04,Good,46-60,2
VID00359,OH,Kia,3 Series,2012,Farmers,Full Coverage,Yes,2026-03-18,Fair,46-60,3
VID00360,CA,Chevrolet,Elantra,2021,Farmers,Collision,No,2025-08-06,Poor,60+,1
VID00361,CA,Nissan,Altima,2008,USAA,Full Coverage,Yes,2025-09-12,Poor,36-45,1
VID00362,CA,BMW,Jetta,2003,USAA,Collision,Yes,2025-09-01,Fair,18-25,0
VID00363,PA,Volkswagen,3 Series,2004,Allstate,Collision,Yes,2025-11-13,Fair,18-25,0
VID00364,NC,Hyundai,C-Class,2004,Progressive,Comprehensive,Yes,2025-05-20,Fair,36-45,5
VID00365,CA,Ford,Camry,2011,Farmers,Full Coverage,No,2025-10-25,Poor,26-35,0
VID00366,MI,Mercedes,C-Class,2002,Liberty Mutual,Full Coverage,Yes,2025-07-07,Poor,36-45,1
VID00367,NC,Mercedes,Sorento,2000,Farmers,Collision,No,2025-07-20,Good,36-45,3
VID00368,NC,Chevrolet,Sorento,2016,Farmers,Collision,Yes,2025-08-30,Fair,60+,4
VID00369,IL,Hyundai,Civic,2019,Progressive,Collision,Yes,2025-07-04,Fair,46-60,0
VID00370,PA,Hyundai,Altima,2018,Progressive,Full Coverage,No,2026-03-08,Good,60+,0
VID00371,MI,Hyundai,Elantra,2006,Allstate,Comprehensive,No,2025-06-23,Good,18-25,3
VID00372,FL,Ford,Altima,2007,State Farm,Comprehensive,Yes,2025-06-27,Fair,26-35,4
VID00373,CA,Honda,Altima,2011,Geico,Liability,Yes,2025-10-03,Good,18-25,0
VID00374,IL,Volkswagen,Altima,2004,Farmers,Full Coverage,Yes,2026-03-10,Good,36-45,0
VID00375,NC,Nissan,3 Series,2019,USAA,Full Coverage,Yes,2026-03-15,Poor,46-60,4
VID00376,IL,Honda,Jetta,2010,Allstate,Collision,No,2025-10-08,Good,26-35,2
VID00377,GA,Volkswagen,3 Series,2013,Geico,Collision,Yes,2025-07-03,Good,36-45,2
VID00378,FL,Mercedes,3 Series,2009,Liberty Mutual,Collision,No,2025-07-12,Fair,36-45,1
VID00379,NC,Nissan,Altima,2022,Farmers,Collision,Yes,2026-03-12,Poor,36-45,3
VID00380,OH,Kia,Elantra,2014,Liberty Mutual,Full Coverage,Yes,2025-07-10,Fair,36-45,4
VID00381,PA,Honda,3 Series,2010,USAA,Full Coverage,Yes,2025-07-29,Poor,36-45,0
VID00382,FL,Volkswagen,F-150,2012,Geico,Comprehensive,Yes,2025-07-24,Poor,46-60,3
VID00383,NY,Volkswagen,F-150,2002,Allstate,Collision,No,2025-06-15,Good,26-35,2
VID00384,NY,Toyota,Camry,2018,USAA,Comprehensive,No,2025-07-19,Fair,26-35,0
VID00385,FL,Ford,Civic,2019,Progressive,Collision,No,2025-07-31,Fair,46-60,1
VID00386,PA,Kia,Camry,2019,State Farm,Collision,No,2025-05-31,Poor,60+,1
VID00387,FL,BMW,Camry,2019,Progressive,Liability,No,2025-11-09,Fair,18-25,2
VID00388,FL,Volkswagen,Sorento,2018,Allstate,Comprehensive,Yes,2026-01-31,Good,26-35,0
VID00389,TX,BMW,Sorento,2018,Liberty Mutual,Full Coverage,No,2025-08-07,Good,46-60,3
VID00390,OH,Chevrolet,Camry,2010,State Farm,Full Coverage,No,2025-12-28,Fair,60+,5
VID00391,GA,Honda,3 Series,2008,Liberty Mutual,Collision,Yes,2025-07-23,Fair,26-35,3
VID00392,TX,Volkswagen,Sorento,2000,USAA,Full Coverage,No,2026-02-13,Poor,60+,2
VID00393,CA,Volkswagen,F-150,2023,Liberty Mutual,Comprehensive,No,2025-09-19,Poor,46-60,2
VID00394,PA,Honda,3 Series,2005,Progressive,Comprehensive,No,2025-11-11,Good,36-45,2
VID00395,GA,Kia,Civic,2001,Allstate,Comprehensive,No,2025-07-18,Good,36-45,5
VID00396,TX,Volkswagen,3 Series,2019,Farmers,Comprehensive,No,2025-09-05,Good,36-45,0
VID00397,GA,Volkswagen,Sorento,2002,Progressive,Comprehensive,Yes,2025-10-14,Good,18-25,0
VID00398,OH,Volkswagen,C-Class,2000,State Farm,Collision,Yes,2025-04-30,Poor,60+,3
VID00399,FL,Nissan,3 Series,2012,State Farm,Full Coverage,Yes,2025-08-17,Good,36-45,2
VID00400,IL,Toyota,Civic,2010,Geico,Comprehensive,Yes,2025-10-02,Good,46-60,4
VID00401,IL,Mercedes,C-Class,2003,Liberty Mutual,Comprehensive,No,2025-07-12,Good,60+,0
VID00402,IL,Nissan,Camry,2017,USAA,Full Coverage,Yes,2025-11-12,Poor,26-35,0
VID00403,FL,Mercedes,Silverado,2015,Allstate,Liability,No,2025-08-21,Good,18-25,4
VID00404,GA,Toyota,C-Class,2008,Geico,Collision,No,2025-10-21,Good,36-45,1
VID00405,CA,Nissan,Civic,2009,Progressive,Full Coverage,No,2025-05-02,Fair,46-60,5
VID00406,FL,Volkswagen,Jetta,2005,Liberty Mutual,Liability,Yes,2026-02-18,Poor,26-35,5
VID00407,IL,BMW,C-Class,2019,Farmers,Full Coverage,Yes,2025-07-14,Good,46-60,2
VID00408,IL,Chevrolet,Jetta,2000,Liberty Mutual,Collision,No,2025-05-04,Poor,36-45,3
VID00409,OH,Chevrolet,Sorento,2022,Geico,Full Coverage,Yes,2026-03-11,Fair,46-60,1
VID00410,MI,Toyota,Camry,2019,Farmers,Liability,No,2026-02-15,Fair,36-45,1
VID00411,CA,Chevrolet,Sorento,2003,Progressive,Full Coverage,Yes,2026-03-20,Good,18-25,5
VID00412,NY,Ford,Silverado,2010,USAA,Full Coverage,No,2026-01-02,Fair,26-35,1
VID00413,OH,Mercedes,Civic,2012,USAA,Collision,Yes,2026-03-01,Fair,36-45,0
VID00414,OH,Ford,Civic,2002,State Farm,Liability,Yes,2025-11-09,Poor,46-60,2
VID00415,PA,Kia,Altima,2022,Allstate,Liability,Yes,2025-11-13,Poor,18-25,4
VID00416,PA,Toyota,3 Series,2002,Farmers,Full Coverage,No,2025-09-23,Fair,26-35,1
VID00417,IL,Ford,3 Series,2007,State Farm,Full Coverage,No,2025-05-09,Poor,18-25,5
VID00418,FL,BMW,Silverado,2009,Progressive,Comprehensive,Yes,2025-07-31,Good,26-35,4
VID00419,PA,Kia,C-Class,2022,Liberty Mutual,Full Coverage,No,2025-11-17,Fair,36-45,0
VID00420,CA,Kia,Civic,2003,State Farm,Liability,Yes,2025-12-14,Fair,46-60,0
VID00421,OH,Toyota,F-150,2014,Allstate,Full Coverage,Yes,2025-12-17,Good,60+,3
VID00422,CA,Honda,Sorento,2021,USAA,Comprehensive,No,2025-05-13,Fair,18-25,0
VID00423,NC,Mercedes,Jetta,2023,USAA,Liability,No,2025-05-30,Fair,36-45,3
VID00424,NC,Kia,Civic,2007,USAA,Collision,Yes,2026-01-03,Poor,18-25,4
VID00425,FL,Nissan,3 Series,2017,State Farm,Liability,Yes,2025-04-29,Fair,60+,2
VID00426,OH,Mercedes,Altima,2010,USAA,Comprehensive,No,2025-07-27,Fair,60+,5
VID00427,IL,Honda,F-150,2003,Liberty Mutual,Full Coverage,No,2026-02-27,Fair,26-35,3
VID00428,PA,Kia,C-Class,2003,USAA,Comprehensive,No,2025-05-27,Fair,26-35,5
VID00429,CA,Nissan,Camry,2012,Farmers,Comprehensive,No,2025-06-15,Poor,46-60,3
VID00430,OH,Ford,3 Series,2019,Progressive,Full Coverage,No,2026-01-14,Fair,36-45,0
VID00431,OH,Mercedes,Sorento,2000,Farmers,Comprehensive,No,2025-12-29,Poor,36-45,0
VID00432,GA,Chevrolet,Elantra,2002,Liberty Mutual,Comprehensive,Yes,2026-03-04,Fair,36-45,0
VID00433,OH,BMW,Camry,2015,Progressive,Comprehensive,No,2025-05-20,Good,60+,0
VID00434,GA,Volkswagen,Altima,2013,Farmers,Collision,Yes,2025-06-05,Poor,18-25,4
VID00435,TX,Honda,C-Class,2014,Progressive,Full Coverage,Yes,2025-05-08,Good,60+,5
VID00436,TX,Mercedes,Camry,2008,Farmers,Comprehensive,No,2025-10-21,Good,36-45,5
VID00437,IL,Chevrolet,Civic,2008,Allstate,Full Coverage,Yes,2025-10-19,Poor,60+,1
VID00438,TX,Kia,Elantra,2004,Geico,Full Coverage,Yes,2026-01-30,Poor,26-35,1
VID00439,OH,Hyundai,Sorento,2000,Progressive,Collision,Yes,2025-07-19,Good,26-35,3
VID00440,TX,BMW,F-150,2009,Progressive,Full Coverage,No,2025-09-05,Fair,26-35,2
VID00441,IL,Honda,C-Class,2008,USAA,Full Coverage,Yes,2025-06-12,Good,18-25,4
VID00442,CA,Honda,Camry,2013,State Farm,Comprehensive,No,2025-05-11,Good,36-45,3
VID00443,TX,Toyota,Jetta,2011,Progressive,Liability,Yes,2025-06-22,Good,60+,0
VID00444,GA,Nissan,Silverado,2003,Geico,Collision,No,2025-11-09,Poor,46-60,4
VID00445,MI,Mercedes,Camry,2013,Geico,Full Coverage,No,2025-05-08,Fair,60+,2
VID00446,NY,Chevrolet,Silverado,2017,State Farm,Comprehensive,No,2026-02-23,Fair,46-60,2
VID00447,NC,Chevrolet,Jetta,2012,Farmers,Comprehensive,No,2025-12-15,Fair,46-60,3
VID00448,GA,Hyundai,Jetta,2014,Farmers,Full Coverage,Yes,2025-05-16,Good,26-35,2
VID00449,PA,Hyundai,Elantra,2011,Progressive,Full Coverage,No,2025-05-01,Poor,60+,1
VID00450,MI,Kia,F-150,2011,Allstate,Comprehensive,No,2025-05-22,Good,26-35,3
VID00451,TX,Toyota,C-Class,2019,Liberty Mutual,Full Coverage,No,2025-09-04,Poor,36-45,4
VID00452,IL,Toyota,Elantra,2001,Farmers,Full Coverage,Yes,2026-02-27,Poor,60+,3
VID00453,NC,Honda,F-150,2001,Allstate,Liability,No,2025-12-02,Poor,60+,1
VID00454,GA,Chevrolet,Camry,2009,Farmers,Comprehensive,Yes,2026-03-03,Poor,60+,5
VID00455,TX,Kia,Jetta,2011,Progressive,Full Coverage,Yes,2025-06-02,Poor,18-25,2
VID00456,NC,Chevrolet,F-150,2000,Allstate,Full Coverage,No,2025-12-04,Good,60+,3
VID00457,PA,Kia,C-Class,2005,Geico,Liability,No,2025-09-07,Poor,36-45,0
VID00458,NY,Chevrolet,Jetta,2004,Progressive,Full Coverage,Yes,2026-03-22,Fair,26-35,0
VID00459,MI,Volkswagen,Camry,2023,Farmers,Full Coverage,Yes,2025-11-29,Fair,18-25,4
VID00460,IL,Ford,Altima,2000,Progressive,Liability,No,2025-10-05,Poor,46-60,1
VID00461,NY,Kia,F-150,2003,Liberty Mutual,Liability,No,2025-09-04,Good,36-45,2
VID00462,MI,Mercedes,Sorento,2015,Progressive,Collision,Yes,2025-10-14,Fair,60+,5
VID00463,MI,Mercedes,Civic,2010,Geico,Comprehensive,No,2025-07-12,Fair,18-25,1
VID00464,OH,Volkswagen,F-150,2013,Farmers,Comprehensive,No,2026-02-19,Poor,46-60,0
VID00465,TX,Nissan,Sorento,2001,USAA,Liability,No,2025-08-30,Fair,18-25,0
VID00466,FL,Ford,F-150,2005,State Farm,Full Coverage,Yes,2025-12-02,Fair,26-35,5
VID00467,MI,Toyota,3 Series,2018,Allstate,Liability,No,2025-08-10,Fair,18-25,4
VID00468,CA,Honda,C-Class,2012,USAA,Comprehensive,No,2025-05-17,Fair,60+,1
VID00469,FL,Ford,Camry,2010,Geico,Collision,Yes,2026-01-25,Fair,26-35,4
VID00470,NC,Nissan,Silverado,2014,State Farm,Comprehensive,No,2025-12-12,Poor,18-25,5
VID00471,PA,Mercedes,Altima,2000,Allstate,Full Coverage,No,2025-09-14,Poor,46-60,0
VID00472,FL,Kia,Jetta,2010,Progressive,Liability,No,2025-09-25,Good,46-60,4
VID00473,GA,Mercedes,Sorento,2017,Progressive,Liability,Yes,2026-02-13,Good,18-25,1
VID00474,GA,Kia,3 Series,2009,Geico,Collision,No,2025-05-21,Fair,36-45,1
VID00475,GA,Mercedes,Altima,2008,Geico,Collision,Yes,2026-03-01,Poor,18-25,1
VID00476,NY,Chevrolet,C-Class,2005,Progressive,Liability,Yes,2025-12-21,Good,46-60,0
VID00477,MI,Mercedes,C-Class,2016,Farmers,Liability,No,2026-03-02,Poor,18-25,5
VID00478,IL,Kia,3 Series,2013,State Farm,Full Coverage,Yes,2025-12-25,Good,26-35,5
VID00479,CA,Ford,Elantra,2006,State Farm,Collision,Yes,2026-03-25,Fair,60+,3
VID00480,NC,Chevrolet,Civic,2006,USAA,Collision,Yes,2026-02-01,Poor,26-35,5
VID00481,MI,Toyota,Sorento,2015,Liberty Mutual,Liability,Yes,2025-05-11,Fair,26-35,0
VID00482,GA,BMW,Civic,2010,Progressive,Full Coverage,No,2025-12-21,Poor,26-35,4
VID00483,TX,Chevrolet,F-150,2014,State Farm,Collision,Yes,2025-12-29,Fair,18-25,4
VID00484,CA,Ford,Silverado,2019,State Farm,Full Coverage,Yes,2025-11-11,Poor,26-35,2
VID00485,IL,Hyundai,Altima,2006,Progressive,Full Coverage,No,2025-10-23,Fair,60+,2
VID00486,NC,Volkswagen,F-150,2017,Progressive,Collision,No,2025-07-09,Fair,60+,2
VID00487,NC,BMW,Camry,2014,State Farm,Collision,No,2026-02-16,Poor,18-25,1
VID00488,MI,Nissan,Silverado,2018,Liberty Mutual,Comprehensive,No,2025-09-18,Poor,26-35,1
VID00489,OH,Hyundai,F-150,2002,Farmers,Full Coverage,Yes,2025-08-30,Poor,18-25,2
VID00490,NY,Chevrolet,3 Series,2017,Allstate,Comprehensive,No,2026-02-22,Good,46-60,0
VID00491,IL,Hyundai,Civic,2018,Farmers,Full Coverage,Yes,2025-08-03,Good,60+,1
VID00492,OH,BMW,Jetta,2003,Farmers,Liability,Yes,2025-04-26,Fair,46-60,3
VID00493,FL,Hyundai,3 Series,2010,Geico,Comprehensive,Yes,2025-08-25,Good,46-60,3
VID00494,NY,Chevrolet,F-150,2007,Geico,Liability,No,2025-07-16,Good,36-45,4
VID00495,TX,Chevrolet,Elantra,2009,Farmers,Collision,No,2025-09-15,Good,60+,1
VID00496,OH,Toyota,Silverado,2005,Geico,Collision,No,2026-02-08,Good,36-45,3
VID00497,OH,Toyota,3 Series,2005,Progressive,Liability,No,2026-03-11,Fair,60+,3
VID00498,OH,Volkswagen,3 Series,2002,State Farm,Comprehensive,Yes,2026-03-25,Fair,18-25,1
VID00499,GA,Hyundai,Elantra,2002,USAA,Comprehensive,No,2025-06-06,Poor,46-60,1
VID00500,PA,Hyundai,C-Class,2007,USAA,Liability,Yes,2025-09-16,Good,26-35,3
VID00501,OH,BMW,Sorento,2013,Progressive,Liability,No,2025-10-20,Poor,46-60,4
VID00502,FL,Honda,C-Class,2017,State Farm,Full Coverage,No,2026-02-13,Fair,18-25,5
VID00503,IL,Nissan,Altima,2018,Geico,Collision,No,2025-12-12,Good,18-25,4
VID00504,GA,Toyota,3 Series,2019,Geico,Collision,No,2025-08-01,Fair,36-45,5
VID00505,TX,BMW,Jetta,2006,Farmers,Comprehensive,No,2026-01-13,Poor,26-35,0
VID00506,NC,Ford,Silverado,2000,Allstate,Comprehensive,No,2026-01-29,Poor,18-25,1
VID00507,OH,Mercedes,Sorento,2015,USAA,Collision,No,2025-09-10,Good,26-35,0
VID00508,IL,BMW,F-150,2012,Liberty Mutual,Full Coverage,Yes,2026-03-06,Poor,26-35,0
VID00509,IL,Chevrolet,Jetta,2003,Progressive,Collision,No,2025-11-25,Poor,18-25,4
VID00510,MI,Volkswagen,3 Series,2012,Allstate,Collision,Yes,2025-05-12,Fair,26-35,5
VID00511,FL,Chevrolet,Silverado,2021,State Farm,Liability,Yes,2025-08-22,Poor,26-35,1
VID00512,PA,Chevrolet,Silverado,2005,Allstate,Collision,No,2026-02-25,Poor,60+,1
VID00513,NC,Toyota,3 Series,2015,Progressive,Liability,No,2025-07-24,Fair,36-45,2
VID00514,FL,Mercedes,Jetta,2016,USAA,Full Coverage,Yes,2025-05-24,Poor,46-60,5
VID00515,NC,Chevrolet,C-Class,2011,Farmers,Full Coverage,Yes,2025-07-27,Poor,18-25,4
VID00516,NC,Nissan,Sorento,2019,Geico,Full Coverage,No,2025-09-10,Fair,18-25,0
VID00517,OH,Kia,Civic,2009,Geico,Collision,No,2025-09-03,Fair,26-35,0
VID00518,MI,Ford,Camry,2010,State Farm,Full Coverage,Yes,2025-06-29,Good,60+,4
VID00519,NC,Hyundai,Altima,2017,Allstate,Liability,No,2025-07-22,Good,26-35,2
VID00520,MI,Honda,Sorento,2009,Progressive,Collision,No,2025-06-21,Good,46-60,1
VID00521,PA,Hyundai,C-Class,2000,Allstate,Collision,No,2026-03-13,Fair,36-45,2
VID00522,MI,Volkswagen,Civic,2010,Farmers,Liability,No,2025-12-04,Good,46-60,0
VID00523,TX,Chevrolet,Camry,2007,Progressive,Full Coverage,Yes,2025-06-09,Poor,36-45,4
VID00524,FL,Honda,F-150,2007,Progressive,Comprehensive,No,2025-08-14,Poor,46-60,2
VID00525,FL,Hyundai,3 Series,2013,USAA,Full Coverage,No,2026-03-16,Fair,18-25,5
VID00526,CA,Hyundai,Jetta,2023,Allstate,Comprehensive,No,2025-11-26,Poor,18-25,0
VID00527,NC,BMW,Camry,2005,Liberty Mutual,Full Coverage,No,2025-06-15,Good,18-25,3
VID00528,FL,Volkswagen,3 Series,2015,USAA,Full Coverage,Yes,2026-01-11,Fair,60+,4
VID00529,FL,Kia,Silverado,2023,Progressive,Comprehensive,No,2025-05-20,Good,46-60,3
VID00530,NC,Ford,Elantra,2012,Farmers,Comprehensive,Yes,2025-07-03,Good,36-45,2
VID00531,FL,Volkswagen,Civic,2002,USAA,Comprehensive,Yes,2026-01-22,Good,18-25,5
VID00532,GA,Volkswagen,3 Series,2022,Progressive,Liability,No,2025-11-28,Fair,46-60,0
VID00533,MI,Chevrolet,Silverado,2013,Liberty Mutual,Full Coverage,No,2025-08-03,Poor,46-60,4
VID00534,GA,Toyota,3 Series,2022,Liberty Mutual,Full Coverage,Yes,2026-01-10,Poor,26-35,4
VID00535,FL,Volkswagen,C-Class,2008,State Farm,Comprehensive,No,2025-11-10,Poor,46-60,5
VID00536,NC,Honda,3 Series,2004,Progressive,Collision,No,2025-05-31,Poor,36-45,4
VID00537,TX,Nissan,Silverado,2020,Farmers,Collision,Yes,2025-12-25,Good,26-35,5
VID00538,PA,Volkswagen,C-Class,2013,State Farm,Comprehensive,No,2025-11-16,Fair,26-35,5
VID00539,FL,Nissan,Sorento,2006,Farmers,Liability,No,2025-09-29,Fair,46-60,5
VID00540,CA,Kia,Jetta,2010,Farmers,Collision,No,2026-02-05,Fair,46-60,5
